Created Date,Cut Off At,Fakultas Text,Fakultas Tujuan Text,Id,Jenis Program Text,Jenjang,Jk,Nama Mhs,Negara Tujuan Text,Nim,Prodi Text,Tgl Mulai,Tgl Selesai,Tipe Text,Univ Tujuan Text,Verified
2018-09-10 16:58:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,11299,,S1,,JOHAR Rahmadhani Argarini  ,Malaysia,0331310416,EKONOMI ISLAM,2018-09-01,2019-01-31,FT,International Islamic University Malaysia (IIUM),Ya
2019-01-26 16:48:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,11190,,S1,,ESTIT Maulidia  Da ,Malaysia,0330100417,EKONOMI ISLAM,2018-10-21,2018-10-28,PT,Universiti Sains Islam Malaysia,Ya
2022-07-06 15:36:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,-,9025,Exchange Program,S1,,Maulidia Hidayahtus Pasha  ,Mongolia,0331190420,AKUNTANSI,2022-05-27,2022-05-27,PT,Mandakh University,Ya
2017-08-16 14:31:00.000,2023-07-31 11:48:43.5926,Sekolah Pascasarjana,University Sains Malaysia,10212,,S2,,Ruri Widiyatno Nababan  ,Malaysia,0530210915,SAINS EKONOMI ISLAM,2017-04-28,2017-07-24,PT,University Sains Malaysia,Ya
2017-08-16 11:12:00.000,2023-07-31 11:48:43.5926,Sekolah Pascasarjana,Centre For Islamic Development Managemen Studies (ISDEV),10213,,S2,,Ruri Widiyatno Nababan  ,Malaysia,0530210915,SAINS EKONOMI ISLAM,2017-04-24,2017-06-24,PT,University Sains Malaysia,Ya
2017-08-25 13:17:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Sosial dan Ilmu Politik,xxx,9851,,S1,,NISYA Delima Berhimpong  ,Turkey,0310560714,ILMU HUBUNGAN INTERNASIONAL,2017-07-01,2017-07-04,PT,Internasional Conference on Eurasian Politics and Society (IEPAS) 2017,Ya
2018-05-25 03:53:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Sosial dan Ilmu Politik,xxx,10460,,S1,,NISYA Delima Berhimpong  ,Thailand,0310560714,ILMU HUBUNGAN INTERNASIONAL,2018-03-13,2018-03-17,PT,Chulalongkorn University,Ya
2022-12-14 12:40:00.000,2023-07-31 11:48:43.5926,Fakultas Vokasi,college of management,8285,Short Program,D3,,HAYYI Az ALI  ,Taiwan,1130161520,MANAJEMEN PERBANKAN,2022-08-01,2022-08-24,PT,Asia University,Ya
2018-01-30 16:20:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,10657,,S1,,RISMA Daniswara Elbaar  ,Japan,0332670415,MANAJEMEN,2018-01-08,2018-01-20,PT,Kyoto University,Ya
2018-09-10 17:27:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,11599,,S1,,RISMA Daniswara Elbaar  ,Japan,0332670415,MANAJEMEN,2018-01-08,2018-01-20,PT,Kyoto University,Ya
2021-06-29 15:51:00.000,2023-07-31 11:48:43.5926,Fakultas Farmasi,Foreign Studies,14126,Exchange Program,S2,,"Ailani RENAYA   Mkes,",Japan,0530040520,ILMU FARMASI,2021-05-20,2021-07-31,PT,Osaka University,Ya
2021-11-03 03:51:00.000,2023-07-31 11:48:43.5926,Fakultas Farmasi,Farmasi,15132,Exchange Program,S2,,"Ailani RENAYA   Mkes,",Japan,0530040520,ILMU FARMASI,2021-10-07,2021-10-08,PT,Osaka University,Ya
2021-10-29 15:59:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Academy of Islamic Studies,14388,Exchange Program,S1,,Asa Sayida   ,Malaysia,0330630419,EKONOMI ISLAM,2021-10-01,2021-10-31,PT,Universiti Malaya,Ya
2022-12-16 14:39:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran,kedokteran,8178,Conference/Seminar Workshop,Spesialis,,Dyshafilia SURYADI Nareswara  ,Taiwan,0663100117,ILMU ANESTESI,2022-03-08,2021-03-08,FT,China Medical University - UNAIR,Ya
2023-03-07,2023-07-31 11:48:43.5926,Fakultas Sains dan Teknologi,,15758,Competition,S1,,Yew Widira Hartanti  ,Malaysia,8330958201,STATISTIKA,2023-03-31,2023-07-01,FT,Universiti Teknologi MARA (UiTM),
2019-11-12 08:27:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,ekonomi,12738,,S1,,Ulyasari ASY Ningtias  ,Taiwan,0332720417,AKUNTANSI,2019-11-10,2019-11-20,PT,Nanhua University Taiwan,Ya
2018-09-10 14:35:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,11057,,S1,,Ulyasari ASY Ningtias  ,Brunei Darussalam,0332720417,AKUNTANSI,2018-09-05,2018-09-07,PT,Brunel University,Ya
2019-01-26 15:59:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,11058,,S1,,Ulyasari ASY Ningtias  ,Malaysia,0332720417,AKUNTANSI,2018-10-16,2018-10-19,PT,Universiti Kuala Lumpur Malaysia,Ya
2017-08-16 13:49:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Budaya,Student Exchange at Shizuoka University of Arts and Culture,9831,,S1,,Anis SUSI Salam  ,Japan,1330551213,STUDI KEJEPANGAN,2017-04-01,2018-03-01,FT,Shizuoka University of Art and Culture,Ya
2019-09-14 14:28:00.000,2023-07-31 11:48:43.5926,Fakultas Hukum,LAW,12959,,S1,,FARHAT ANDINI Furqoni  ,Malaysia,0331980316,ILMU HUKUM,2019-10-15,2019-10-18,PT,Universiti Teknologi MARA (UiTM),Ya
2020-02-27 14:36:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran Hewan,veterinary science,13656,Internship,S1,,Rima Zahira Arumdhany  ,Thailand,0331760617,KEDOKTERAN HEWAN,2020-01-06,2020-01-17,PT,Kasetsart University,Ya
2019-10-04 14:29:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,ekonomi,12837,,S1,,Okkinardo Febriani Virta  ,Taiwan,0330940417,MANAJEMEN,2019-10-12,2019-10-18,PT,Chinese Culture University,Ya
2022-04-07 13:49:00.000,2023-07-31 11:48:43.5926,Fakultas Vokasi,SUSS Singapore,15587,Exchange Program,D3,,Lia Ana Naftalina  ,Singapore,1130611521,MANAJEMEN PERHOTELAN,2022-01-03,2022-01-14,PT,SUSS Singapore,Ya
2019-04-15 07:13:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Sosial dan Ilmu Politik,xxx,12394,,S1,,Cristian Earlene Ainulfitri  ,Vietnam,0330710715,ILMU HUBUNGAN INTERNASIONAL,2019-02-01,2019-03-14,PT,Kedubes RI,Ya
2019-03-12 17:36:00.000,2023-07-31 11:48:43.5926,Fakultas Vokasi,-,11276,,D3,,Ukik ZHANUARISTA HABIBAH MUHAMMAD ,Malaysia,1130411516,KEPARIWISATAAN / BINA WISATA,2019-01-01,2019-07-01,FT,Lotus Desaru Research and Spa,Ya
2019-04-25 10:34:00.000,2023-07-31 11:48:43.5926,Fakultas Vokasi,Lotus Desaru Hotel Johor,12024,,D3,,Ukik ZHANUARISTA HABIBAH MUHAMMAD ,Malaysia,1130411516,KEPARIWISATAAN / BINA WISATA,2019-01-02,2019-07-31,FT,Lotus Desaru Hotel Johor,Ya
2017-08-22 11:11:00.000,2023-07-31 11:48:43.5926,Fakultas Sains dan Teknologi,Student Exchange at the University of Malaya(UM),10042,,S1,,ISTI'ADAH Philip   Irfan,Malaysia,0330340815,TEKNIK BIOMEDIS,2017-09-01,2018-01-31,FT,University of Malaya,Ya
2017-11-28 10:29:00.000,2023-07-31 11:48:43.5926,Fakultas Sains dan Teknologi,University of Malaya,10612,,S1,,ISTI'ADAH Philip   Irfan,Malaysia,0330340815,TEKNIK BIOMEDIS,2017-09-14,2018-01-15,FT,University of Malaya,Ya
2019-11-25 13:21:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran,kedokteran,13539,Conference/Seminar Workshop,Spesialis,,Nia JONATAN   ,Malaysia,0063010117,KEDOKTERAN FORENSIK DAN STUDI MEDIKOLEGAL,2019-09-25,2019-09-27,PT,Forensic Medicine & Sciense society,Ya
2022-12-16 14:41:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran,kedokteran,8162,Conference/Seminar Workshop,Spesialis,,Laurensia Elfira   ,Taiwan,0663120120,ILMU ANESTESI,2022-03-08,2022-03-08,PT,China Medical University - UNAIR,Ya
2019-10-07 10:17:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran Gigi,Faculty of Dentistry,12820,Exchange Program,S1,,Hinanda Retsa   ,Hong Kong (SAR),0330370217,KEDOKTERAN GIGI,2019-07-01,2019-07-05,PT,The University of Hong Kong,Ya
2022-12-06 16:52:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran Gigi,Fakultas Kedokteran Gigi,8709,Conference/Seminar Workshop,Profesi,,Hinanda Retsa   ,Indonesia,0430340220,PENDIDIKAN PROFESI DOKTER GIGI,2022-09-30,2022-10-02,PT,Universitas Airlangga,Ya
2022-06-20 10:41:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran Gigi,-,8922,Participation in Consortium,S1,,Luna Yudi Fadhila  ,Japan,0330430217,KEDOKTERAN GIGI,2022-02-14,2022-02-14,PT,Hiroshima University,Ya
2017-05-26 14:32:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Sosial dan Ilmu Politik,no data,9385,,S1,,Rahmatul Ivo Indreswari  ,Thailand,0330440713,ILMU INFORMASI DAN PERPUSTAKAAN,2017-03-27,2017-04-01,PT,Thammasat University,Ya
2017-05-26 14:32:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Sosial dan Ilmu Politik,no data,9386,,S1,,Rahmatul Ivo Indreswari  ,Thailand,0330440713,ILMU INFORMASI DAN PERPUSTAKAAN,2017-03-27,2017-04-01,PT,Thammasat University,Ya
2019-10-04 13:32:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,ekonomi,12683,Conference/Seminar Workshop,S2,,LUSIANA Vivaldi Yuniar  ,Malaysia,0530070418,SAINS MANAJEMEN,2019-10-23,2019-10-26,PT,Tunku Abdul Rahman University College,Ya
2021-03-26 12:53:00.000,2023-07-31 11:48:43.5926,Fakultas Kesehatan Masyarakat,Researcher Online Forum: Publishing in Southeast Asia pada 16 Juni 2020,14761,Research Training/Fellowship,S3,,Thalia Rukmi MAZAYA  ,Malaysia,1873041016,KESEHATAN MASYARAKAT,2020-06-16,2020-06-16,PT,Researcher Online Forum: Publishing in Southeast Asia pada 16 Juni 2020,Ya
2019-10-04 13:33:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,ekonomi,12542,Conference/Seminar Workshop,S2,,Friska TISMANANDA   ,Malaysia,0530090418,SAINS MANAJEMEN,2019-10-23,2019-10-26,PT,Tunku Abdul Rahman University College,Ya
2018-08-27 10:53:00.000,2023-07-31 11:48:43.5926,Fakultas Sains dan Teknologi,"Kuala Lumpur, Malaysia",10642,,S1,,Nida Windanasari   ,Malaysia,0330730815,BIOLOGI,2018-05-10,2018-05-15,PT,Universiti Kuala Lumpur Malaysia,Ya
2023-01-10 12:50:00.000,2023-07-31 11:48:43.5926,Fakultas Keperawatan,COLLEGE OF NURSING,7914,Short Program,S2,,Marcella Firdausy Esther  ,Taiwan,2210112322,KEPERAWATAN,2022-11-03,2022-11-04,PT,China Medical University Taiwan,Ya
2021-11-03 11:41:00.000,2023-07-31 11:48:43.5926,Fakultas Farmasi,Farmasi,15007,Exchange Program,Profesi,,Hadi Rismadani Fikriyah  ,Switzerland,0430440520,PENDIDIKAN PROFESI APOTEKER,2021-04-28,2021-04-28,PT,World Health Organization (WHO),Ya
2021-11-04 14:25:00.000,2023-07-31 11:48:43.5926,Fakultas Farmasi,Farmasi,15481,Exchange Program,S1,,Rakhmi Bashroni   ,United Arab Emirates,0332350518,FARMASI,2021-08-06,2021-08-28,PT,Fakultas Farmasi,Ya
2022-01-07 11:19:00.000,2023-07-31 11:48:43.5926,Fakultas Farmasi,Universiti Kuala Lumpur Royal College of Medicine Perak,15482,Exchange Program,S1,,Rakhmi Bashroni   ,Malaysia,0332350518,FARMASI,2021-08-02,2021-08-03,PT,Fakultas Farmasi,Ya
2019-06-14 10:47:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran Hewan,Veterinary Science,11866,,S1,,Syifani Swatika FADHIL MUHARRAM ,Thailand,0332530617,KEDOKTERAN HEWAN,2019-07-01,2019-07-18,PT,Khon Kaen University,Ya
2019-10-04 13:35:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,ekonomi,12532,Conference/Seminar Workshop,S2,,Kania Septianda Sasono  ,Malaysia,0530020418,SAINS MANAJEMEN,2019-10-23,2019-10-26,PT,Tunku Abdul Rahman University College,Ya
2019-03-29 11:26:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran Gigi,Faculty of Dentistry,12067,,Profesi,,YURIKO Septiyastuti Salma  ,Japan,0430250216,PENDIDIKAN PROFESI DOKTER GIGI,2019-04-01,2019-10-31,FT,Hiroshima University,Ya
2021-06-29 12:09:00.000,2023-07-31 11:48:43.5926,Fakultas Sains dan Teknologi,Foreign Studies,14106,Exchange Program,S2,,BELINDA Choliq M  ,Japan,0530020820,TEKNIK BIOMEDIS,2021-03-20,2021-07-31,FT,Osaka University,Ya
2017-08-28 11:28:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,-,9947,,S1,,Ardhin Octafianto Oktavianie  ,Thailand,0330470414,MANAJEMEN,2017-05-10,2017-05-11,PT,-,Ya
2016-09-01 02:28:00.000,2023-07-31 11:48:43.5926,Fakultas Hukum,-,9155,,S1,,Yahya Nailiatu Soeryo  ,Belgium,0330480314,ILMU HUKUM,2016-02-28,2016-03-10,PT,Katholieke Universiteit Leuven,Ya
2018-07-18 07:10:00.000,2023-07-31 11:48:43.5926,Fakultas Hukum,-,10508,,S1,,Yahya Nailiatu Soeryo  ,Japan,0330480314,ILMU HUKUM,2018-02-16,2018-02-22,PT,-,Ya
2018-05-25 03:55:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Sosial dan Ilmu Politik,xxx,10485,,S1,,Moh. Fadlilatul   ,Thailand,0310710714,ILMU HUBUNGAN INTERNASIONAL,2018-03-13,2018-03-17,PT,Chulalongkorn University,Ya
2017-06-05 10:19:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran,Faculty of Medicine and Siriraj Hospital,9264,,S1,,Erike Indria A/l  ,Thailand,0310240114,KEDOKTERAN,2017-02-24,2017-02-27,PT,Mahidol University,Ya
2017-08-25 06:38:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran,Kedokteran,9722,,S1,,Erike Indria A/l  ,Malaysia,0310240114,KEDOKTERAN,2017-07-21,2017-07-22,PT,Melaka Manipal Medical College,Ya
2019-10-03 12:53:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,12700,,S1,,Aloysius Ullya Soetjipta  ,Taiwan,0332140417,AKUNTANSI,2019-10-13,2019-10-18,PT,Chinese Culture University,Ya
2019-01-26 15:51:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,11156,,S1,,Aloysius Ullya Soetjipta  ,Malaysia,0332140417,AKUNTANSI,2018-10-16,2018-10-19,PT,Universiti Kuala Lumpur Malaysia,Ya
2021-10-17 16:39:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran Gigi,Asossiation Paragon,14299,Conference/Seminar Workshop,Spesialis,,Felisha Adijaya   ,Switzerland,0463140219,GIZI,2021-06-10,2021-06-13,PT,Asossiation Paragon,Ya
2017-07-21 09:13:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Budaya,xxx,9068,,S1,,FERDIKA Meirina CLAUDIA  ,Indonesia,1330731216,ILMU SEJARAH,2017-07-05,2017-07-25,PT,Universitas Gadjah Mada,Ya
2021-11-03 15:48:00.000,2023-07-31 11:48:43.5926,Fakultas Farmasi,Farmasi,14889,Exchange Program,Profesi,,Caesarani Ochta Ariyanto  ,Malaysia,0431360520,PENDIDIKAN PROFESI APOTEKER,2021-09-03,2021-09-04,PT,Fakultas Farmasi University Kebangsaan Malaysia,Ya
2021-11-03 13:12:00.000,2023-07-31 11:48:43.5926,Fakultas Farmasi,Farmasi,14890,Exchange Program,Profesi,,Caesarani Ochta Ariyanto  ,Switzerland,0431360520,PENDIDIKAN PROFESI APOTEKER,2021-04-28,2021-04-28,PT,World Health Organization (WHO),Ya
2021-11-03 15:50:00.000,2023-07-31 11:48:43.5926,Fakultas Farmasi,Farmasi,14891,Exchange Program,Profesi,,Caesarani Ochta Ariyanto  ,Malaysia,0431360520,PENDIDIKAN PROFESI APOTEKER,2021-09-11,2021-09-11,PT,Fakultas Farmasi University Kebangsaan Malaysia,Ya
2017-08-25 12:31:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Sosial dan Ilmu Politik,xxx,10143,,S1,,Cristian Apriyani Hadyan  ,Thailand,0330930715,ILMU HUBUNGAN INTERNASIONAL,2017-08-25,2017-08-25,PT,The sixth International Conference on Advancement of Development Administrasion,Ya
2017-08-25 12:35:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Sosial dan Ilmu Politik,xxx,10144,,S1,,Cristian Apriyani Hadyan  ,Thailand,0330930715,ILMU HUBUNGAN INTERNASIONAL,2017-06-01,2017-06-03,PT,The sixth International Conference on Advancement of Development Administrasion,Ya
2018-09-10 20:13:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Budaya,-,11526,,S1,,Hayyina Diwanti Matin  ,Japan,1330541215,STUDI KEJEPANGAN,2018-08-20,2019-08-19,FT,Kansai Medical University,Ya
2016-05-02 10:05:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran,-,9530,,S1,,FEBRI Easteria Alfaini  ,Estonia,0111660110,KEDOKTERAN,2015-04-19,2015-04-29,PT,,Ya
2017-08-16 15:04:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran,the 3rd International Choral Competition Ave Verum 2017,10017,,Profesi,,FEBRI Easteria Alfaini  ,Austria,0430080114,PENDIDIKAN PROFESI DOKTER,2017-06-15,2017-06-29,PT,the 3rd International Choral Competition Ave Verum 2017,Ya
2022-01-17 16:14:00.000,2023-07-31 11:48:43.5926,Fakultas Kesehatan Masyarakat,APACPH-KL SEMINAR ON HEALTH LAW AND ETHICS,15251,Conference/Seminar Workshop,S2,,Mahendra Najatus Mufidah Ramadhan ,Malaysia,1530071020,ADMINISTRASI DAN KEBIJAKAN KESEHATAN,2021-06-17,2021-06-17,PT,APACPH-KL SEMINAR ON HEALTH LAW AND ETHICS,Ya
2022-01-21 14:52:00.000,2023-07-31 11:48:43.5926,Fakultas Kesehatan Masyarakat,FKM UNAIR,15252,Conference/Seminar Workshop,S2,,Mahendra Najatus Mufidah Ramadhan ,Indonesia,1530071020,ADMINISTRASI DAN KEBIJAKAN KESEHATAN,2021-10-27,2021-10-28,PT,Universitas Airlangga,Ya
2019-06-14 12:23:00.000,2023-07-31 11:48:43.5926,Fakultas Keperawatan,Faculty of nursing,11928,,S1,,Cindi Mardiatul Asih  ,Thailand,1331031317,KEPERAWATAN,2019-07-01,2019-07-12,PT,Naresuan University,Ya
2019-03-29 12:53:00.000,2023-07-31 11:48:43.5926,Fakultas Perikanan dan Kelautan,-,11864,,S1,,Arvia Aega Basuki  ,Japan,1331701417,AKUAKULTUR,2019-01-23,2019-01-27,PT,"Student Exchane Organization, Indonesia (SEOI)",Ya
2018-09-10 20:08:00.000,2023-07-31 11:48:43.5926,Fakultas Ilmu Budaya,-,11723,,S1,,Acchedya Aliy Pranesdha  ,Japan,1310351214,STUDI KEJEPANGAN,2018-04-01,2019-03-31,FT,Hotel Shirotoko Dai Ichi Hokkaido,Ya
2022-01-31 13:50:00.000,2023-07-31 11:48:43.5926,Fakultas Kesehatan Masyarakat,MANAGEMENT AND SCIENCE UNIVERSITY,15521,Conference/Seminar Workshop,S1,,Vanda Kezzia Ariani  ,Malaysia,1330271017,GIZI,2021-06-09,2021-06-09,PT,Management and Science University,Ya
2017-11-29 23:53:00.000,2023-07-31 11:48:43.5926,Fakultas Perikanan dan Kelautan,School of Fisheries and Aquaculture Sciences,10897,,S1,,Alvito Aninda Agusti  ,Malaysia,1330701416,TEKNOLOGI HASIL PERIKANAN,2017-11-25,2017-11-28,PT,Universiti Malaysia Terengganu,Ya
2018-01-30 16:16:00.000,2023-07-31 11:48:43.5926,Fakultas Psikologi,Psikologi,10373,,S1,,Atina Primadani Nurrezeki Faikoh ,Thailand,1310071114,PSIKOLOGI,2018-01-01,2018-05-31,FT,Chulalongkorn University,Ya
2018-05-16 07:28:00.000,2023-07-31 11:48:43.5926,Fakultas Psikologi,Faculty of Psychology,10374,,S1,,Atina Primadani Nurrezeki Faikoh ,Thailand,1310071114,PSIKOLOGI,2018-01-01,2018-05-01,FT,Chulalongkorn University,Ya
2018-09-10 16:22:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,11397,,S1,,Ishmah Muqtaf LINAWATI  ,Malaysia,0330900416,EKONOMI PEMBANGUNAN,2018-08-26,2018-09-01,PT,UTP Malaysia,Ya
2019-06-15 14:31:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,12167,,S1,,Ishmah Muqtaf LINAWATI  ,Malaysia,0330900416,EKONOMI PEMBANGUNAN,2019-06-24,2019-06-29,PT,Universiti Teknologi MARA (UiTM),Ya
2021-07-14 12:02:00.000,2023-07-31 11:48:43.5926,Fakultas Hukum,Faculty of law,14098,Conference/Seminar Workshop,S2,,Ernawati SHINTA Hamid  ,Malaysia,0530590320,KENOTARIATAN,2021-07-12,2021-07-12,PT,Universiti Teknologi MARA (UiTM),Ya
2017-10-05 10:55:00.000,2023-07-31 11:48:43.5926,Fakultas Sains dan Teknologi,Faculty of Environm,9774,,S1,,Zhafira Witarahani   ,Japan,0330390813,TEKNIK LINGKUNGAN,2016-11-07,2016-11-17,PT,Kitakyushu University,Ya
2019-11-04 08:43:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,ekonomi,12512,,S1,,SOLFA HERLINA   ,Malaysia,0331440418,EKONOMI ISLAM,2019-11-17,2019-11-24,PT,University of Malaya,Ya
2021-11-24 15:54:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Academy of Islamic Studies,15468,Exchange Program,S1,,SOLFA HERLINA   ,Malaysia,0331440418,EKONOMI ISLAM,2021-10-01,2021-10-31,PT,Universiti Malaya,Ya
2021-11-03 12:13:00.000,2023-07-31 11:48:43.5926,Fakultas Farmasi,Farmasi,15041,Exchange Program,Profesi,,Dia Nurti  Hartono ,Switzerland,0430660520,PENDIDIKAN PROFESI APOTEKER,2021-04-28,2021-04-28,PT,World Health Organization (WHO),Ya
2016-11-10 11:05:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran Hewan,veterinary medicine,9219,,S1,,Nadhia Malinda   ,"Korea, South",0310330614,KEDOKTERAN HEWAN,2016-08-10,2016-08-15,PT,Seoul National University,Ya
2021-10-30 16:49:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Department of Shariah & Economics,15387,Exchange Program,S1,,Fathi  ALFATIHAH  ,Malaysia,0330180419,EKONOMI ISLAM,2021-10-01,2021-10-31,PT,Academy of Islamic Studies,Ya
2019-08-21 14:49:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Fakultas Ekonomi,12806,,S1,,Tanaya Rahmah Kestito  ,Malaysia,0331970417,AKUNTANSI,2019-08-26,2019-08-29,PT,Universiti Utara Malaysia,Ya
2019-01-26 13:24:00.000,2023-07-31 11:48:43.5926,Fakultas Ekonomi dan Bisnis,Ekonomi,11142,,S1,,Tanaya Rahmah Kestito  ,Thailand,0331970417,AKUNTANSI,2018-10-16,2018-10-19,PT,Chulalongkorn University,Ya
2021-03-26 12:16:00.000,2023-07-31 11:48:43.5926,Fakultas Kedokteran Hewan,Veterinary Medicine,14228,Conference/Seminar Workshop,S1,,Devina Wongso M  ,Malaysia,0331050620,KEDOKTERAN HEWAN,2021-02-27,2021-02-27,PT,Unilink Society and Insitut.id ONTV,Ya
